Username,Comment
30miliyar,gw di lampung dri jam 18.45 sampe jam 23.56 baru idup sat..😡
galangghndka_,Cpt oi gak mandi ak smpe skrng
coconoa12,literally 24 jam lebih jir baru idup sekarang
pa.ra.mex,ini mati lagi lampu nya
mwr0303,"gak dimaapin, gw berak aja harus belik air galon isi ulang😭😭"
sam_m458,"mati lampu lagi woii, gelap bgt"
rizkykurnwn1,"CUMA MINTA MAAF??
Cair kulkas es krim ku pakk😭😭"
itsme.coyy,iyaaaa anehnya jalanan tadi malam padet bgt truk2 besar macet loh depan rumah ku. truk apaan itu tumben bgt bisa sampe macet bgt malam 1-4 pagi.
sukadi.efendi,Lampung GK sebut pdhl di Lampung mati lampu juga
aprizal_bin_sabirin17,Kasih lah token gratis dulu pak satu bulan
almaramadhona,"Woy cepatlah hidup, ac ku mati , pekanbaru mana kuat ini, panas di sini"
mobilegendass,info di tempat siapa yg belum nyala listrik nya?
fazzy7514,woi ni kok mati lagi lampunya
tivanychindychendany_,"mati lampu dari jam 7 malam sampe jam 6 pagiii,gabisaaa tidurrr,apalagi pekanbaru panassssssssssss jalanan penuhhhh dimana manaaaaa"
delthon_95,udah 24 jam medan mati lampu
mayaa_ramadhanii,minimal aba' bosss
safrizal60504,kami macharakat gakpernah ngutang.kenapa lampu mati
xnox1111,ini masih mati lampu oyy🗿
the_zeus_14,"ini listrik baru hidup, pertanyaan sekarang apakah ada mati lampu susulan?takutnya tiba-tiba mati lampu lagi🙏"
irenesianipar222,woi masih mati lampu sampe sekarang gila
sukmana951,masih mending jam11 ditempat kami jam satu malam baru idup
ocaa5831,HII GUYS BARU ADA JARINGAN NJIR😭
agustinaj21,jam 7 malem sampe 7 pagi baru nyala .. hebattttt😂
ahmadsholihin9811,"harusnya PLN ganti rugi donk.
rakyat bayar telat bayar denda"
funboy.com123,"saya semalem mau berak gak ada aer pak,
sampe pusing kepala saya nahannya."
senory_store,Caiir cairr
ahmadramhdan_,PLN ...P nya apa
rayhaannnnnnn,berapa ton ini yang masuk sama keluar wkwk
novri_scorpio,Kira kira berapa Ton yang masuk ???
investor2965,"jangan di ulangi lagi ya lek ..
ngelek2 saya main Mobile legends jadinya🗿"
dmatamu,"kenapa cepat sekali d hidup kan woooy
gued sudah beli gemset"
budi.setiawan8113,kampas dan tempo sama kan😂
bhdulaa,intinya aja pak berapa ton?🥰
rika32455,"benerin kulkas ku ini pak.... rusak gara"" mati lampu mendadak... iihhh emosi aku.. elektronik pada konslet"
liauwhadi,itu banyak orang dibelakang bapa lg pada ngapain ?
surya.satria51,terlalu bertele tele ngomonya tuan...
sstraangeerrs,hidupkan lah lampu ini batrai hp gua tinggal 10%
karnikarni307,paling gampang ya mintak maaf si memang
xxruztzy,mati lampu sehari semalam berasa kaya zaman batu anjir😂😂😂😂
user1203488662487,enk aja minta maaf
aiusername7,"pura2 percaya aja dech ,,,biar dia senang"
yusliana521,dari malam jam 7 sampai besok malam jam 8
fanka287,"Mnt maaf juga pak , bulan depan telat bayar tagihannya"
istrisoleha977,Disni dari jam 7 malam sampai jam 2 siang woi😭😭
khanzaboreg,kompensasinyaaa..tlg kami diberi genset ..12 jam loh kami berpanas2an pakk ..digigit nyamukkk
yayaaa_w8,lahh sekarang malah mati lampu lagii wehh di jambi😭😭
ade.alhadi_,"Singkat saja, Kmaren yg ktangkap berapa KG ? trus yg masuk brp Ton ?"
.aripratama0423_,"[Stiker] tolong lah bos panas x medan ini uda
idup kan lah lampoooooo"
gademen,"Malam ini infonya mati lampu lanjut lagi sampe tgl 25,benar kah itu?"
intnwilan,"sepanjang sejarah ,mati lampu terlamaa 😂😂"
mmey1st,"G DIMAAFIN. AKU UDAH NANGIS KARNA GABISA CALL SAMA COWOKUU YANG ADA DI SUMATERA. BADMOOD, MANA LAGI MENS. 😔😭"
bakaswaway81,bayar GK bisa terlambat tapi pelayanan nya amsiong
dnierwin,jgn hanya minta maaf pak dirut keluarkan kompensasi kami umkm malam nggak bisa usaha
muthara04,Kami di sumatera utara khususnya TJ mulia medan deli dari tadi malam sampai malam ini belum nyala sama sekali.. ini bagaimana?
parna8591,kalau telat bayar boleh minta maaf
kumarjugaaa,gara”mati lampu aku jadi keluar malem muter”carii angin😭
scctttt4,"ga mau maafin, saya kepanasan pak, ga bisa tudurr😭"
mersyael,"kasi kompensasi lah 11 jam loh padamnya, stress parah gak ngapa ngapain jaringan internet juga gak bisa"
aries97.87,dijambi jam 7 pagi baru hidup bayang kan 12 jam kipasin anak pakai buku sampai tangan mau potel 😭😭😭😭😭
juragan.empang556,"perlu dipertanyakan kenapa di koneksi listrik seluruh Sumatra dibuat sutet seluruh Sumatra, imbasnya kalau ada masalah semua Sumatra jadi berdampak. dan untuk buat sutet itu biayanya besar sehingga dibebani penguna."
nitasurbakti0,tega banget padam dari jam 8 malam sampai jam 8 pagi... pak 😭😭
ryanti0035,cie kan ada yg klarifikasi 🤣🤣🤣
ariff_labora,coba tebak kerugian yang terjadi indomaret tutup apalagi yg jual es
idolanyaparamant4n,izin.. maaf aja TDK cukup.. gratis Kam PLN 2 bln
monika.sari906,"gak mau maafin, Sampek sekarang lampu nya blm hidup juga 😭😭😭😭"
yaya.fahni,gara gara mati lampu tadi malam gue tidur di teras rumah
machalate.052,SEBUT SAJA LOLOS BRP TON?
27iu93,"ayo berdoa aja semoga listrik bisa cepat pulih.. logikanya PLN penyedia listrik, mereka jual listrik ya klu padam mereka merugi.. klu padam meteran kita jg mati, yg kita bayar yg hidup doang kok..
PLN jg bilang ini karena cuaca, klu kondisi alam siapa yg tau. gak mungkin kita mau nyalahin Tuhan ngasih cuaca buruk kan..
ayo berdoa semoga listrik di sumatera pulih semua 🙏🏻🥲"
pohonpinang5,"intinya aja lah om, kapan hidup lampu nya"
shadowerz93,Sampe detik ini kami masih lampu🥲
indyly,GK mikirin perasaan anak wifi😭
imamsyahputramandai30,suka kau aja la
stecu0172538,"𝙠𝙞𝙩𝙖 𝙩𝙚𝙧𝙡𝙖𝙡𝙪 𝙩𝙚𝙧𝙖𝙣𝙜
𝙝𝙞𝙣𝙜𝙜𝙖 𝙋𝙇𝙉 𝙨𝙚𝙣𝙙𝙞𝙧𝙞 𝙮𝙖𝙣𝙜 𝙢𝙚𝙢𝙖𝙙𝙖𝙢𝙠𝙖𝙣 𝙣𝙮𝙖
𝙛𝙧𝙤𝙢:𝙨𝙪𝙢𝙪𝙩"
aprillianandaaaa,maaf yg gk bertanggung jawab
zivanailhami,Kenapa harus di Sumbar aja.......
ahmad_april5,kompensasi nya mana bos
arfanie47,plg ga..dy minta maaf....ga kayak..yg lain...
dodiirawan2211,Saya juga minta maaf pak ya... Kl bulan depan telat bayar. Karena adanya gangguan pemasukan mendekati hari raya idul adha.
eeiyore,mundur ege
eka.diana84,moaf maaf enak saja
mr..boy3813,percaya???
juriatik11,"pak , tlg lah jgn mati lampu lagi soalnya kami jualan es krim, eskrim kami meleleh dan GK bisa dijual kami rugi pak jadi mau mintak pertanggung jawaban sama siapa pak,sementara kami cuma pedagang kecil jadi tlg pak jgn mati lampu lagi🙏🏻🙏🏻🙏🏻😭😭😭😭"
youur_l.0.v.e.r,mati lampu lagi anjayy😭😭😭
deeyyyyee_,"Kami helvet dari 18,40 sampek jam 12 tadi baru hidup🙂"
glow1ee_,"gamau, aku gabisa tdr sampe pagi. males"
kepokaliloo,telkomsel aja kebakaran dulu 1 Sumatera gangguan dikasih kompensasi berupa kouta internet. PLN apa ni kompensasi nya?
jendesgmyyy23,GARA GARA MATI LAMPU GAKBISA SLEEPCALL SAMA BRONDONGKU 🥺
suryadiakmal4,"maaf pak kita gak bisa bayar listrik gimna pak,"
andiiiiiiii05,"gara""pln ini aku ga bisa slep call sama syngku"
mak_biru,Mati jam 7 malam hidup jam 8 pagii 😩😩
my.seventy,kalau ada kesalahan begini pasti banyak yg hujat PLN.. apapun PLN sampai tetap d mata masyarakat salah.. sabar ya PLN manusia emang gitu lihat kesalahan kita kita akan d tekan trus.. mereka GK sadar selama ini PLN selalu memberikan terbaik buat masyarakat
yellysidaurukk,kami belum hidup listrik sampai sekarang... Tebing Tinggi di jalan siantar
iya_hahaha907,"[Stiker] Hay kami ga di minta maaf in ni kah
Sumatra Selatan woy sakit my heart 💔😭"
babenk11,terlalu baik di negara ini cuman permohonan maaf doank
sa.gi.ta.ri.us1,[Stiker] ini ada part 2 nya gak?
syaa_rowr8,dari jam 7 malam sampe jam 10 pagi baru idup 🥱🥱
duosengpoodle,Hari2 maaf hari2 maaf tapi kinerja tak pernah jelas
zahraaaaaaaaaaaaaaaa00,kapan idup nyaa plss 😭
ksjhsdjk,"dh mati lampu gda air pula, klo bntr gpp ini lama amat"
ibu.rita59,nggak pp pak mati. demi perlistrikan aman .tp alangkah baiknya di kasih tau dulu. malalui kantor daerah masing ..jd pelanggan bs antisipasi ..apa lg sumatra lg full panas nya ..
r0n4ldsianipar,hidup kn la masak lama x Sampek skrg
ayunurpancawati,"buat yang daerah padam ini namanya hidup tv ya
siapa tau dsna ga bisa nyalain tv"
susanto.liem28,"harus ada kompensasi nya donk
jangan hanya MAAF
jika kami telat bayar listrik apa bisa selesai dengan MAAF"
alfren.bebalazi.g,pln harus bertanggung jawab dengan kerugian yg kami alami.
opetkiw_kiw032,kalo udh gini mnta maaf tapi telat bayar sdikit langsung di putus
arifsimanjuntax,tempat ku mati lagi ini pak.. rusak la roti ku ini
_anribintangsinurat135,singkat saja brp ton masuk?
ctnggmrnii,[Stiker] singkat saja berapa ton yang lewat selama mati lampu
papi_misha2022,"dimulai dari 18:35 - 03:37
kerugian saya total 999.000.010"
alpaww_99,"pantes hp gw panas,ternyata ada matahari cuy jirr lah🗿🫪"
sambosambo551,"singkat padat jelas aja, brapa ton yg lolos? brpa jt?"
uwennmilala17_,"intinya aja,berapa ton masuk/keluar?"
hadiee_dolken,Yang lampu nya baru hidupp like
hypinx,amann barangg ituu kan lekk? berapa ton masuk kemarin sama nanti malam?
uusserrnnn,"gamau maafin
16 jam mati lampu
14 jam ga ada sinyal
ngambek!!"
sizuokatan,"kalau padam, bilangnya maaf. kalo telat bayar listrik, di putus😅"
febrice__,"Gak mau maafin, asi ku yang di chiller jadi basi semua 😭 masak matinya dari jam 7 malam dan baru idup jam 11 siang ini."
rnamg41,di setiap pelabuhan mati lampu d situ barang masuk ton ton
fut4you__,kira kira berapa hari ini siapnyaaa bertanya dengan nada lembut
marchel.08,"beneran atau mau berhemat pak,(serius nnya dengan nada lembut)"
riskaika95955,pak kami mati lampu dari jam 6 sore sampai jam 7 pagi😭
monicaastrey,gantiiiiii rugi oiiii
lilihuanghuang,"jgn curang pak PLN,"
adisti.official,"GK bisa aku maaf kan, karena tadi MLM aku GK bisa vidio call sama cowok ku, jangan kan vc, cht aja GK bisa😭"
aulialia6071,"menit semuaa , baru ada sinyal kali Yakk😭"
biedjatoletta,"maaf.. maaf.. maaf terus.. lalu gimana pelanggan yg mengalami kerugian ataupun kerusakan yg di derita oleh pelanggan karena matinya aliran listrik, harus nya PLN mengganti kerugian yg timbul."
cix319,inti nya aj brp ton pak?
susilo50886,"maaf Pak aku gak bisa kasih maaf, masalahnya kalau kita telat bayar listrik kita mau diputus, tapi kalau PLN ada gangguan cuma minta maaf, berarti kalau kita telat bayar apa bisa kita bayar dgn maaf blm bisa bayar"
tgk_4295,"singkat saja, berapa ton yg berhasil lewat?"
wakodaoy,singkat sajah berapa ton yng masuk?
dsi3993,berapa ton yg masuk?
bilaeeauly,ini mati lampu lagi nih hari ini?
mustafatafas1,"ini brg msuk apa kluar pak,brpa ton kira""lewat?"
anisa.sirgr,apa cuman aku aja yang kepikiran dari gejala mati lampu ini seperti ada gajah dibalik batu???
renitadeasynapitupulu,"pak , daerah tj slamat ,flamboyan raya dri jam 19.00 tdi malam sampe sy ngetik ini belom nyala juga , stok lauk sy d lemari es udah mulai ngeluarin aroma 😔😔"
sigitfebryan,2026 masih blackout 😀🤣
znnn3020,maaaf...? kami telat bayar 3 hari udah di datengin dan ada kertas bertuliskan pemutusan sementara. adilkaah.....?
suns.fransicostret09_3,Ganti rugi toll
arielarekilangare,"enaknya minta maaf"" klau bisa itu gantinya gratis listrik buat rakyat itu baru permintaan maaf yg betul"
irianianii1,di mana pembangkit nya apa sama. semua dari su gura gura
mainoooooos1,skrng udah nyala kah bg?
fell_nof,"kami sebagai anak wifi, gak mau maafin🙄"
sultonabdulhakim,mundur ajah
sahabat_rally,maaf aja?
mansurman449,enk x minta maaf klau gk sanggub mundur aja
nurillhudaa151,Lampung ga di sebutin 😭 padahal mati lampu juga 😩
deviii5109,nanti malam katanya mati lampu lagi guys
indrawardian__,"ini mati Lampu lagi Pak....
sekitar siantar-Simalungun....
pukul 15.00 wib sore ini"
lelahh0910,di sni 24 jam😞
ekiramadani80,"kami mati lampu 24 jam dari habis magrib, lu pikir enak ya TDR kepanasan"
rgt_095,ganti aja ni dirutnya
raja.andrean.sahr0,singkat saja berapa ton pak
nurhalimahrealme,yaa pak bunda terima minta maaf bapak
yxzz.qies03,"rungkadd aku pakk hp ku satu hari mati,wifi pun join,air nggak ada pakk😭😭,tapi Alhamdulillah ud idupp iniee pakkk"
ayuwelly2728,apaan pak....smpai jam 6 pagi kami br idup lampu nyaa 😭😭😭 pekanbaru udh panassss kali dtmbah mati lampu 12 jam 😭😭😭
rendangplg1,tuntut pln nya karna merugikan masyarakat
nhayraaleesyaj,"gamau di maafin, gak pulas tidur aku panas kali"
pythagorasss___,"cepatlah nyala, ak ni belum nyuci😭😭😭😭"
suksesnelayan,setelah ini jangan lupa mengundurkan diri 🤔
arisyaputra452,"kompensasi nya pak bukan cma mntak maaf di kota Jambi bgan pete dari 18:44 sampe jam 3:00 subuh, giliran bayar listrik aja telat langsung di putus listrik kami, giliran kyk g ni cma mntak maaf, bayar listrik chas TPI PLN Masi crita rugi, kompensasi nya jgn cma berdialog aja."
amran1519,jgn terlalu lama padam pak kami rakyat bayar tiap bln tinggi
02scorpiooo,Kalau siang gak usah mati lampu dong panas bangettttt 😭😭
mandacanss3007,"gara "" PLN aku GK mandi 2 hari 🤣"
