"Comment ID","Reply to Which Comment","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7642930059850089224""","","=""6911100343893066757""","ffaattiirrr","ffaattiirrr","knp ya akun” kaya gini tuh kebanyakan pada pake komen bot","23/5/2026, 10.52.15","22346","No","31","No","https://www.tiktok.com/@ffaattiirrr"
"=""7642937331464323847""","=""7642930059850089224""","=""6845959971802383362""","p8878776","88878","biar rame bang, kalo ga rame nanti kasusnya ga di usut","23/5/2026, 11.20.29","1183","No","","","https://www.tiktok.com/@p8878776"
"=""7642948539592704775""","=""7642930059850089224""","=""6748339928092656641""","ulquiorra1205","Cifer","biar rame dan fyp, cepat juga viralnya","23/5/2026, 12.03.56","348","No","","","https://www.tiktok.com/@ulquiorra1205"
"=""7642947374251557652""","=""7642930059850089224""","=""7627813035986256916""","spakat67","zora卍","guna lu komen kek gini juga apaan😹","23/5/2026, 11.59.31","114","No","","","https://www.tiktok.com/@spakat67"
"=""7642952199928185621""","=""7642930059850089224""","=""7045892458911581186""","elbiji233","superwo","lu juga sama","23/5/2026, 12.18.21","10","No","","","https://www.tiktok.com/@elbiji233"
"=""7643086633009169170""","=""7642930059850089224""","=""7267195301554603013""","rasyaawkwkk","cappunino","kagak anjir bukan bot itu, udh gw cek 11 akunnya, rata rata pada gabut bingung mw komen apa, kalo pun bot biasannya promosi judol","23/5/2026, 20.59.47","6","No","","","https://www.tiktok.com/@rasyaawkwkk"
"=""7642943467552097041""","=""7642930059850089224""","=""7154018717289677850""","need271t","Ikbal","buzzer itu","23/5/2026, 11.44.51","1","No","","","https://www.tiktok.com/@need271t"
"=""7642941424014492436""","=""7642930059850089224""","=""7528553414638453768""","alfarrell.oficial","Alfarrell oficial","beli bot biar cepat fyp ya gini, bikin males","23/5/2026, 11.36.19","1","No","","","https://www.tiktok.com/@alfarrell.oficial"
"=""7643370068710474517""","=""7642930059850089224""","=""7011150070347236379""","makunouchiii2","Makunouchi Ippo","kan dia belivirwww nya","24/5/2026, 15.19.54","0","No","","","https://www.tiktok.com/@makunouchiii2"
"=""7643122703859286792""","=""7642930059850089224""","=""7499079644307080210""","jsjsjshsyh_","ndhira_","itu yang komen"" stiker bot ya ka? Atau org dibayar?","23/5/2026, 23.19.46","0","No","","","https://www.tiktok.com/@jsjsjshsyh_"
"=""7643105752161649415""","=""7642930059850089224""","=""6952091764858127361""","we.clipper","Ryan Turu","sengaja sewa bot biar rame,","23/5/2026, 22.14.05","0","No","","","https://www.tiktok.com/@we.clipper"
"=""7643059965733421831""","=""7642930059850089224""","=""7010779509839709185""","gederehan09","￴ ￴ ￴ ￴ ￴","biar viral lah","23/5/2026, 19.16.27","0","No","","","https://www.tiktok.com/@gederehan09"
"=""7643034038730998535""","=""7642930059850089224""","=""6773987035156087809""","blackmorin","nyxia's bf","komen beli kek nya kan ada jasa nya juga biar ramein video aja kek nya","23/5/2026, 17.35.47","0","No","","","https://www.tiktok.com/@blackmorin"
"=""7643033077426307860""","=""7642930059850089224""","=""7580382232298652690""","rayaisa_","Ray¡a。.","supaya vedeonya naik","23/5/2026, 17.32.08","0","No","","","https://www.tiktok.com/@rayaisa_"
"=""7643024347072512786""","=""7642930059850089224""","=""7454102778148176913""","hasann2507","san","bukan bot tapi banyak bocill","23/5/2026, 16.58.10","0","No","","","https://www.tiktok.com/@hasann2507"
"=""7643010723506012936""","=""7642930059850089224""","=""7602646974836229127""","bang.kubil45","Bang Kubil","Jem booot","23/5/2026, 16.05.25","0","No","","","https://www.tiktok.com/@bang.kubil45"
"=""7642990743661576981""","=""7642930059850089224""","=""7137516939853153306""","ayccycaa","￴  ￴ ￴ ￴","komen yg bot ky gmn","23/5/2026, 14.47.46","0","No","","","https://www.tiktok.com/@ayccycaa"
"=""7642988930615116552""","=""7642930059850089224""","=""7562483809594934279""","cyuy4b3","式守 みっちょん","biar viral bang","23/5/2026, 14.40.45","0","No","","","https://www.tiktok.com/@cyuy4b3"
"=""7642979181705593601""","=""7642930059850089224""","=""7419282841543230470""","kur.si.embut","nuttela🥜","kalau lu bisa peke logika harusnya lu tau kalau semua komen yang nggak nyambung itu cuma orang² caper yang tau kalau konten² begini itu isi komen ny banyak yang ngomong kalau isinya komen bot. karna orang² caper ini udah kemakan kata² itu mereka bakal bikin komen dari konten itu seakan berisi komen bot","23/5/2026, 14.02.53","0","No","","","https://www.tiktok.com/@kur.si.embut"
"=""7642975175629619984""","=""7642930059850089224""","=""6648437716684931074""","dmranakbrr","bardd","biar cepet ke up video nya","23/5/2026, 13.47.37","0","No","","","https://www.tiktok.com/@dmranakbrr"
"=""7642951458052784916""","=""7642930059850089224""","=""7521179028905051137""","kaiserid13","Kaiser_ID13","semuanya skrng mas, gk tau kenapa kayaknya bug atau apa, saya liat2 banyak banget komentar yang bot","23/5/2026, 12.15.29","0","No","","","https://www.tiktok.com/@kaiserid13"
"=""7642947926755869460""","=""7642930059850089224""","=""6954262634967680002""","cutiesicyl15","chyisil🍒","biar bisa fyp/rame","23/5/2026, 12.01.41","0","No","","","https://www.tiktok.com/@cutiesicyl15"
"=""7642942214443975444""","=""7642930059850089224""","=""7244438738665964549""","ngonedewe","hurungkudu","takut mah ama oknum","23/5/2026, 11.39.27","0","No","","","https://www.tiktok.com/@ngonedewe"
"=""7642941392402301703""","=""7642930059850089224""","=""7515437364937147410""","akunnu0","KETUA YOHANES","lu yg bot","23/5/2026, 11.36.16","0","No","","","https://www.tiktok.com/@akunnu0"
"=""7642938908528198421""","=""7642930059850089224""","=""7591350317767132178""","user345678910123450000","Eza08","bukan bot asli ny, mereka asli ny bocil ikut ikut an doang ngirim stiker alias fomo, it biar dikira bot wkwk","23/5/2026, 11.26.49","0","No","","","https://www.tiktok.com/@user345678910123450000"
"=""7642937927445938964""","=""7642930059850089224""","=""6766463402547332098""","sulung_91","Fyaluna🍜","biar beritanya naik","23/5/2026, 11.22.53","0","No","","","https://www.tiktok.com/@sulung_91"
"=""7642933840411230996""","=""7642930059850089224""","=""6959717044623393797""","doombwrath","Vladik🚷","biar banyak yang nonton","23/5/2026, 11.06.59","0","No","","","https://www.tiktok.com/@doombwrath"
"=""7643042563361014529""","=""7642930059850089224""","=""7620112227042984961""","aqmwmgnm","￴ ￴ ￴ ￴ ￴ ￴ ￴ ￴ ￴￴","[Stiker] cek akunny bre, bkn bot","23/5/2026, 18.08.56","2","No","","","https://www.tiktok.com/@aqmwmgnm"
"=""7643037946006979335""","=""7642930059850089224""","=""7484797629449454600""","nizz1_4","nizz","konten promosi","23/5/2026, 17.50.58","1","No","","","https://www.tiktok.com/@nizz1_4"
