"Comment ID","Reply to Which Comment","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7601328604127494919""","","=""6986566432038814747""","mudiyacantik","𝚂𝚙𝚒𝚕𝚛𝚊𝚌𝚞𝚗𝚌𝚊𝚗𝚝𝚒𝚔","katanya di KDRT, itu bilangnya baik banget🤣","31/1/2026, 08.17.28","11961","No","37","No","https://www.tiktok.com/@mudiyacantik"
"=""7601491442619663125""","=""7601328604127494919""","=""6958597960734573573""","ndaahusain__","🦋","skrg udh cnggih ka, apa' udh bisa di edit","31/1/2026, 18.49.15","659","No","","","https://www.tiktok.com/@ndaahusain__"
"=""7601780884571996948""","=""7601328604127494919""","=""6848133759545164801""","rossierahman","rossie","confuse kita ya dibuat nya","1/2/2026, 13.32.27","73","No","","","https://www.tiktok.com/@rossierahman"
"=""7602236952121819905""","=""7601328604127494919""","=""7519318503586563079""","bublegumyyy.lyz.www","bublegumyyy.lyz.www","serba salah ya jadi dia, bilang di kdrt pada ga percaya giliran dia bilang yang baik baik salah juga","2/2/2026, 19.02.19","68","No","","","https://www.tiktok.com/@bublegumyyy.lyz.www"
"=""7604136679301137172""","=""7601328604127494919""","=""6792987840059376642""","ghifary2823","👣","iyaa yaaa, biasanya orang kalo d KDRT ga pernah terbesit bilang dia baik.","7/2/2026, 21.54.06","27","No","","","https://www.tiktok.com/@ghifary2823"
"=""7602648611461726994""","=""7601328604127494919""","=""6913565540683498498""","uvnvd.23","winter bear","😅","3/2/2026, 21.39.37","22","No","","","https://www.tiktok.com/@uvnvd.23"
"=""7606375483873575696""","=""7601328604127494919""","=""7557954103353017352""","anonymous_5638","Anonymous _","ini ai","13/2/2026, 22.41.52","0","No","","","https://www.tiktok.com/@anonymous_5638"
"=""7623739119903490824""","=""7601328604127494919""","=""7311569755147797512""","afrizal5573","Acill✨","tapi kok asli yah","1/4/2026, 17.41.43","4","No","","","https://www.tiktok.com/@afrizal5573"
"=""7622114941651338002""","=""7601328604127494919""","=""6874084617214641153""","khdd19","kdbbb12","di KDRT karena ketauan selingkuh mungkin ya, siapa yg gak marah cobak 😏","28/3/2026, 08.39.13","3","No","","","https://www.tiktok.com/@khdd19"
"=""7610689693568615189""","=""7601328604127494919""","=""6976619373378257922""","dinda_momoy97","Dinda_MoMoy97🦋","Itu lah play victim nya si jule dh mmg jelas dia yang salah dalam hal ini padahal ex husb nya mmg Baik sngat apa lagi jaga anak2 betul2 tulus","25/2/2026, 13.43.20","3","No","","","https://www.tiktok.com/@dinda_momoy97"
"=""7602774951305822997""","=""7601328604127494919""","=""6769958289913463810""","kireii980","kirei","astaga itu editan. lu polos apa dngo?","4/2/2026, 05.50.16","2","No","","","https://www.tiktok.com/@kireii980"
"=""7630331108089643794""","=""7601328604127494919""","=""7529209655555720208""","saskehh335","saskehh","biar dia berasa jadi korban padahal mah emang si jule nya aja yang jablai","19/4/2026, 12.01.57","1","No","","","https://www.tiktok.com/@saskehh335"
"=""7635477913210782485""","=""7601328604127494919""","=""7186350665248179201""","dewiapriliya_","LEOO😼","biar gk terlalu kena hujat itu tuh","3/5/2026, 08.54.17","0","No","","","https://www.tiktok.com/@dewiapriliya_"
"=""7635303188014596884""","=""7601328604127494919""","=""6625573742745862146""","diana.gita","diana.gita","mungkin daehon kdrt karna si jule nya ketauan selingkuh,atau nakal sama cwo lain semacam chat2an atau apalah itu. karna ini bkn kejadian pertama , ini udh kedua kali nya","2/5/2026, 21.36.07","0","No","","","https://www.tiktok.com/@diana.gita"
"=""7630440655295365908""","=""7601328604127494919""","=""7207383316685079553""","user9661561380545","zaqi","mleot mulutnya🤣🤣🤣🤣","19/4/2026, 19.07.05","0","No","","","https://www.tiktok.com/@user9661561380545"
"=""7629915120785294087""","=""7601328604127494919""","=""7613911108658856978""","pdilll25","pdilll","lu denger info dari mana jir","18/4/2026, 09.07.43","0","No","","","https://www.tiktok.com/@pdilll25"
"=""7629414339150152468""","=""7601328604127494919""","=""7327679707352007698""","gianpratama112017","GnGsd11.","Cuman alesan doang biar bebas sama syafri wkwkwk","17/4/2026, 00.44.26","0","No","","","https://www.tiktok.com/@gianpratama112017"
"=""7628206135456482066""","=""7601328604127494919""","=""7624443927126377490""","zzkiya_au","Zzkiya_Au.🅰️🤍🌷","gak usah gitu kak, klo kakak di posisi kak jule juga gitu, Salah enggak nya dia juga hidup dia, bukan hidupmu.","13/4/2026, 18.35.55","0","No","","","https://www.tiktok.com/@zzkiya_au"
"=""7626295563906433799""","=""7601328604127494919""","=""7047308357682840603""","adlzeln","zaaa จินติ้ง◉◦","editan kak","8/4/2026, 15.01.55","0","No","","","https://www.tiktok.com/@adlzeln"
"=""7626097499694301959""","=""7601328604127494919""","=""6784788927859721217""","dhianaditya1","deanrashop","😁 nanti jg Jule nyesel ninggalin anak anak nya . liat aja","8/4/2026, 02.13.21","0","No","","","https://www.tiktok.com/@dhianaditya1"
"=""7620016856393368328""","=""7601328604127494919""","=""7236711967703467013""","norisknoferari0","whalelock","sifat dasar wanita, muka 1000","22/3/2026, 16.57.20","0","No","","","https://www.tiktok.com/@norisknoferari0"
"=""7614171940484694802""","=""7601328604127494919""","=""6779923752643363841""","dr.rosmacantiek","dr.Rosma Cantiek","Kan kmarin biar gak keliatan trlalu salah 😅😂","6/3/2026, 22.56.05","0","No","","","https://www.tiktok.com/@dr.rosmacantiek"
"=""7612837523999671060""","=""7601328604127494919""","=""7080047764273251354""","whd_rs2222","Driver Bapak'e","itulah betina 🥺🔥🔥🔥","3/3/2026, 08.37.54","0","No","","","https://www.tiktok.com/@whd_rs2222"
"=""7602531785272918804""","=""7601328604127494919""","=""6804982020180280321""","mombgzs","vuvhuyayha🐰","makanya Daehoon pun berani speak up ya ka kalo dia ga melakuan kdrt. tyt pun juljul kejebak sm ucapannya sendiri ttg kdrt pdhal d sini dia blg bae bgt","3/2/2026, 14.06.26","1","No","","","https://www.tiktok.com/@mombgzs"
