"Comment ID","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7643026420242858768""","=""6795822747924005890""","sweetestdaisy17","𝑬𝒍𝒏𝒊𝒂🍓","Auto rame yang cek in😭","23/5/2026, 17.06.09","1","No","0","No","https://www.tiktok.com/@sweetestdaisy17"
"=""7643058203258209045""","=""6945470008156357633""","sncsncess","ANDRE⛓️⛓️","warkop yang ga pernah ramai seketika jadi ramai😭","23/5/2026, 19.09.41","4","No","0","No","https://www.tiktok.com/@sncsncess"
"=""7642941980414755592""","=""6962144512630129666""","ray_sembiring","Tk. mas ray keloko","yng ngecas bukan hpnya lagi tapi manusiannya😭😭","23/5/2026, 11.38.33","5","No","0","No","https://www.tiktok.com/@ray_sembiring"
"=""7642994173776347924""","=""6928720250956940290""","ehhsiezyyy","Miss Yutaaa","aku paket lengkap mati lampu, kos tekunci, basah kuyup kena hujan🗿","23/5/2026, 15.01.17","2","No","0","No","https://www.tiktok.com/@ehhsiezyyy"
"=""7643079798927803144""","=""7512712661039137810""","msluluu.bae","Ms. Lulu B","Udh aman skrg?","23/5/2026, 20.33.19","0","No","1","No","https://www.tiktok.com/@msluluu.bae"
"=""7642925610512597767""","=""6734160597506540546""","berjalan_jajan","I'm_goofy","Kami di setiabudi sampai skrg belum hidup listrik 😭","23/5/2026, 10.35.06","1","No","2","No","https://www.tiktok.com/@berjalan_jajan"
"=""7643025728053527313""","=""7004231695273985026""","chacupcake_20","my name is♓","katamso jam 15.00 baru hidup anjayy bener","23/5/2026, 17.03.46","0","No","1","No","https://www.tiktok.com/@chacupcake_20"
"=""7642961912800084754""","=""7520654965129708552""","zizif24_","nanazz_suka matcha","[Stiker] DAHH IDUPP WEEE YEYY","23/5/2026, 12.55.50","18","No","0","No","https://www.tiktok.com/@zizif24_"
"=""7642990885329158919""","=""6843514873885541381""","jj_unl0","Jess","Orasakti🖤Yang pasti pasti aja cuy💯💞💗💚💚","23/5/2026, 14.48.27","2","No","7","No","https://www.tiktok.com/@jj_unl0"
"=""7642889223087899410""","=""7152782573135332353""","anotherayujuntak","Matchaaa","Tadi malam tiba2 di mr diy banyak yg beli lampu senter😭😭🤣","23/5/2026, 08.13.57","4","No","0","No","https://www.tiktok.com/@anotherayujuntak"
"=""7643311526283215634""","=""7247315309923681286""","deaagustin900","dearizky92","lucunya hotel penuh, lilin abis lampu darurat abis. genset abis 😏","24/5/2026, 11.32.30","4","No","0","No","https://www.tiktok.com/@deaagustin900"
"=""7643366293652112148""","=""7309849509923275781""","apasie_16","mieayamenak","dimana mana bunyi genset 😭","24/5/2026, 15.05.17","3","No","0","No","https://www.tiktok.com/@apasie_16"
"=""7643346042897056533""","=""7643330904777589780""","apr4764","Apr","[Stiker] aku yg ngecas hp di kereta","24/5/2026, 13.46.31","5","No","0","No","https://www.tiktok.com/@apr4764"
"=""7643022540097504021""","=""7512835240445330437""","fabio.satria","fabio Satria","Warga medan tadi malem kek laron mana kafe 24 jam yg buka di situ semua pada nemplok","23/5/2026, 16.51.25","8","No","0","No","https://www.tiktok.com/@fabio.satria"
"=""7642940730827440917""","=""7295077097712976904""","fireza.susanto5","Fireza Susanto","kadang aneh yang mati lampu tapi yang antri SPBU","23/5/2026, 11.33.57","1","No","0","No","https://www.tiktok.com/@fireza.susanto5"
"=""7642913230990394130""","=""6933779253738898433""","iyaajaud","Monty","macet dimana” cafe yg gak laku pun laku, warkop yg biasanya sepi rame🤣🤣🤣","23/5/2026, 09.47.01","5","No","0","No","https://www.tiktok.com/@iyaajaud"
"=""7642947173039276807""","=""6910519578570228737""","ifwhtsasa","sasa","ngecas di scopy😭😭😭😭","23/5/2026, 11.58.42","1","No","0","No","https://www.tiktok.com/@ifwhtsasa"
"=""7643174715401536272""","=""7511494876991816721""","freeport_king","apa liat²🗿","mati lampu udh kek mudik aja 😭","24/5/2026, 02.41.53","3","No","0","No","https://www.tiktok.com/@freeport_king"
"=""7642941637094310677""","=""6880107911415628802""","littlefingerrr_","Toko Garuda00","Itu pada antri spbu isi minyak mobil biat cas hp 😂","23/5/2026, 11.37.10","4","No","0","No","https://www.tiktok.com/@littlefingerrr_"
"=""7642929017822069522""","=""7371430347063526416""","siti.ginting89","Siti Ginting//Kebun Secimit","Diski baru aja idop gesss...ucapin selamat lah sama kami,karna udah bisa idup tanpa listrik 14 jam tanpa listrik.","23/5/2026, 10.48.17","4","No","0","No","https://www.tiktok.com/@siti.ginting89"
"=""7642922605674726162""","=""7117067186028282882""","ykltmi_","Ndaa_","jam 12 malem uda kayak malm minggu jam 7😭😭🤣","23/5/2026, 10.23.21","3","No","0","No","https://www.tiktok.com/@ykltmi_"
"=""7643050532030333704""","=""6942413625538102274""","vienfaster","Alpine","kami di aceh udah duluan lah bulan 11 kemarin.. 10 hari tanpa listrik..😂","23/5/2026, 18.39.45","3","No","0","No","https://www.tiktok.com/@vienfaster"
"=""7642959477378237191""","=""75628385470""","laurensiaf","laurensia 🐙","aku baru nyala lampunya","23/5/2026, 12.46.30","1","No","0","No","https://www.tiktok.com/@laurensiaf"
"=""7642969446714409746""","=""7630438559564612615""","ellana_loveemuotori","🎀 ˊ 𝓔𝙡𝙡𝙖𝙣𝙖","ini kota kalo ada musibah gaada takut²nya sama sekali anjir😭","23/5/2026, 13.25.07","2","No","0","No","https://www.tiktok.com/@ellana_loveemuotori"
"=""7642969839816770305""","=""7613536848006153233""","na______042928","nynaa","medan baru idup😭","23/5/2026, 13.26.41","4","No","0","No","https://www.tiktok.com/@na______042928"
"=""7642918198523134728""","=""6850837909978432514""","maulinadna","maulina.dina","medan tadi malam drama kali 😭","23/5/2026, 10.06.22","6","No","0","No","https://www.tiktok.com/@maulinadna"
"=""7642991640492393217""","=""7164074748129002497""","bakpaukering_","micadow💃🏻","😭😭😭😭😭","23/5/2026, 14.51.31","1","No","0","No","https://www.tiktok.com/@bakpaukering_"
"=""7642874886474040085""","=""7173737352661500929""","aldi.sandiko5","Aldi Sandiko","bujang tadi malem keliling nyarik tempat nongkrong rame semua , terakhir ngabisin minyak aja awak","23/5/2026, 07.18.26","7","No","0","No","https://www.tiktok.com/@aldi.sandiko5"
"=""7642981815464805127""","=""6795518568580711426""","hia_service","HIA SERVICE","[Stiker] Warga medan tadi malam","23/5/2026, 14.13.08","5","No","0","No","https://www.tiktok.com/@hia_service"
"=""7643084801818018568""","=""7591470157291389959""","namuttiee","utiiinaaa💅🏻✨","ko pada mati lampu lama bgt ya? 😭😭","23/5/2026, 20.52.45","3","No","0","No","https://www.tiktok.com/@namuttiee"
"=""7643070844038644487""","=""6967711165103719426""","nanaalia21","ndaaulia","ihh iya loh kak aku aja yg dri binjai nyari tempat cas di medan ga dpt juga😭","23/5/2026, 19.58.34","2","No","0","No","https://www.tiktok.com/@nanaalia21"
"=""7643112984344118034""","=""6834937708893307906""","miyuliaaa_","Yuliiiaaaw","Jangan senang dulu kelen weee, infonya beberapa hari kedepan pemadaman masih gantian teros kitaa","23/5/2026, 22.42.03","2","No","0","No","https://www.tiktok.com/@miyuliaaa_"
"=""7642985771868504853""","=""6818131870052811781""","pinkytruthh","uyuyuyu","Binjai baru idup jam 2 td guys dari jam 7 mlm 😭","23/5/2026, 14.28.40","3","No","0","No","https://www.tiktok.com/@pinkytruthh"
"=""7643057570916205320""","=""7456065996516983809""","kontenlagusad","rzq","di helvet mati air we 😭😭","23/5/2026, 19.07.06","2","No","0","No","https://www.tiktok.com/@kontenlagusad"
"=""7642911419281474325""","=""6941711839202558978""","greantea415","🤍♥️🫶","Brastagi aman,tidur nyenyak sampai pagi 🤣","23/5/2026, 09.40.02","1","No","0","No","https://www.tiktok.com/@greantea415"
"=""7642928459589550866""","=""7590436828387001352""","acaaacchhh","caa","uda idup lampu tapi jaringan wifi nya gada cogg😭😭","23/5/2026, 10.46.08","1","No","0","No","https://www.tiktok.com/@acaaacchhh"
"=""7642932294391694100""","=""6791356977132258305""","auahsabodoteuing","tan 90","ya allah sesusah ini skrg hidup di indonesia","23/5/2026, 11.01.18","1","No","0","No","https://www.tiktok.com/@auahsabodoteuing"
