"Comment ID","Reply to Which Comment","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7582739270332629778""","","=""7571118754567685138""","floriska.1234","Floriska","LINK TERBARU VIDEY
https://mysite.klikdisinij.web.id/?id=7cb54fff","12/12/2025, 06.01.28","5","No","0","No","https://www.tiktok.com/@floriska.1234"
"=""7372386663962510085""","","=""7369960601210274821""","thisiskenzo1","KENZO BTR","SKANDAL NEW KAYES 2024🤩
LINK AKAN KADALUARSA 5 HARI LAGI !
LINK SKANDAL NEW KAYES :
https://webn.link-vip02.my.id/","24/5/2024, 09.25.46","5","No","0","No","https://www.tiktok.com/@thisiskenzo1"
"=""7223082042446791429""","","=""7063247969671939099""","misteryviral","『͜H 2R』|| TEMPLATE 🌀","anjirr yang 47 menit cuma nonton dia ngobrol ama emaknya doang","18/4/2023, 01.07.36","4373","No","43","No","https://www.tiktok.com/@misteryviral"
"=""7223135661976355610""","=""7223082042446791429""","=""7051984814257374210""","ptraaa4a_","Megg","kan yg aslinya cuma 5 menitan kalo sisa nya kalo ga tiktok yah live streaming dia","18/4/2023, 04.36.13","474","No","","","https://www.tiktok.com/@ptraaa4a_"
"=""7397418422458319622""","=""7223082042446791429""","=""7251560541084435462""","byannnnsss","ushed","bgi link ny bg","30/7/2024, 21.06.38","0","No","","","https://www.tiktok.com/@byannnnsss"
"=""7226320899892101914""","=""7223082042446791429""","=""6771231132073018369""","juckytridatu","Jucky Tri Datu","bagi bg","26/4/2023, 18.36.09","1","No","","","https://www.tiktok.com/@juckytridatu"
"=""7228525004126749467""","=""7223082042446791429""","=""6821604752272131074""","fvrilliantinu","Fvrillian Tinu","bagi bng","2/5/2023, 17.09.08","1","No","","","https://www.tiktok.com/@fvrilliantinu"
"=""7224348822221849370""","=""7223082042446791429""","=""6811169395882165249""","gen_goat","G O A T .","coba oper","21/4/2023, 11.03.42","1","No","","","https://www.tiktok.com/@gen_goat"
"=""7224065246645175067""","=""7223082042446791429""","=""6952792611926066178""","axxxkew","kewkew","gua ada nih","20/4/2023, 16.43.05","21","No","","","https://www.tiktok.com/@axxxkew"
"=""7225491706413564699""","=""7223082042446791429""","=""7065656716457968645""","gaknduwett",".","bagi kk","24/4/2023, 12.58.42","0","No","","","https://www.tiktok.com/@gaknduwett"
"=""7226083885817430811""","=""7223082042446791429""","=""6904399519736235009""","ongbashdhdh","add","bagi bang","26/4/2023, 03.16.31","1","No","","","https://www.tiktok.com/@ongbashdhdh"
"=""7224700233975218971""","=""7223082042446791429""","=""6958355799169614853""","zampengengemuk","clockspicyboy","yakin g ngilang","22/4/2023, 09.47.41","1","No","","","https://www.tiktok.com/@zampengengemuk"
"=""7226581736518959899""","=""7223082042446791429""","=""6938986627307078657""","syahrulcallu632","Syahrul callu632","bagi bang","27/4/2023, 11.28.26","1","No","","","https://www.tiktok.com/@syahrulcallu632"
"=""7224982657997325082""","=""7223082042446791429""","=""6956678692387013637""","himbrahimm","himbrahim3","bagi uii","23/4/2023, 04.03.09","1","No","","","https://www.tiktok.com/@himbrahimm"
"=""7239340349121790725""","=""7223082042446791429""","=""7071764600236966914""","tesya694","tesya","bagi coba","31/5/2023, 20.38.00","1","No","","","https://www.tiktok.com/@tesya694"
"=""7226149405493478171""","=""7223082042446791429""","=""7136110141783868442""","pendosa_2395","pendosa😟","mau dong","26/4/2023, 07.31.19","1","No","","","https://www.tiktok.com/@pendosa_2395"
"=""7224765942424437530""","=""7223082042446791429""","=""6688207958017115138""","celvinmoo0","Celvin","bgi la","22/4/2023, 14.02.19","2","No","","","https://www.tiktok.com/@celvinmoo0"
"=""7225380797716726554""","=""7223082042446791429""","=""6984097045994079234""","a.2luv","Rabaina","bagi dong kak/bang","24/4/2023, 05.48.40","1","No","","","https://www.tiktok.com/@a.2luv"
"=""7226575995218117402""","=""7223082042446791429""","=""7179997844979024897""","itsaboutme122","ITS me","wkwk","27/4/2023, 11.06.30","1","No","","","https://www.tiktok.com/@itsaboutme122"
"=""7224302971512767258""","=""7223082042446791429""","=""6612219109370003457""","ardiansahsalimdian","arlot tiktok","bagi woi berbagi itu indah","21/4/2023, 08.06.16","1","No","","","https://www.tiktok.com/@ardiansahsalimdian"
"=""7226215611159511835""","=""7223082042446791429""","=""6677421856168379394""","11_ariesss","TEGANGAN TINGGI💬","bgi","26/4/2023, 11.47.44","1","No","","","https://www.tiktok.com/@11_ariesss"
"=""7229882397046440730""","=""7223082042446791429""","=""6971070436604298241""","rk_king_135cc","rx king👑👑","bagi weyy","6/5/2023, 08.57.08","0","No","","","https://www.tiktok.com/@rk_king_135cc"
"=""7224978524112782107""","=""7223082042446791429""","=""6798705752808817665""","always.solo2","Bagus.Wicaksono","Mana bagi","23/4/2023, 03.47.13","0","No","","","https://www.tiktok.com/@always.solo2"
"=""7228176418117960475""","=""7223082042446791429""","=""7172096371071009793""","fahrisaputra580","pp halal_","mana bagi","1/5/2023, 18.36.26","1","No","","","https://www.tiktok.com/@fahrisaputra580"
"=""7229407000471388954""","=""7223082042446791429""","=""7111379095846093851""","rererrarwww","hhe","bgi","5/5/2023, 02.11.53","1","No","","","https://www.tiktok.com/@rererrarwww"
"=""7226480342059205403""","=""7223082042446791429""","=""6934710950910526466""","maderiian_16","rayen","boleh tuh","27/4/2023, 04.55.12","1","No","","","https://www.tiktok.com/@maderiian_16"
"=""7226394622645158683""","=""7223082042446791429""","=""7107637298078942234""","wilsyafa","syakilah collection","bagi dong prnasaran nih","26/4/2023, 23.22.15","1","No","","","https://www.tiktok.com/@wilsyafa"
"=""7226059645428531995""","=""7223082042446791429""","=""6879984479936447490""","csmembersolatcom","csmembersolat. com","bgi bg","26/4/2023, 01.42.23","1","No","","","https://www.tiktok.com/@csmembersolatcom"
"=""7226391247644230427""","=""7223082042446791429""","=""7030039359190057985""","ikbalfaturahman3","Ikball","bgi","26/4/2023, 23.09.15","1","No","","","https://www.tiktok.com/@ikbalfaturahman3"
"=""7592721663813305095""","=""7223082042446791429""","=""6516066322069061634""","sayadavid444","444Artha","bagi bg😭","8/1/2026, 03.38.03","0","No","","","https://www.tiktok.com/@sayadavid444"
"=""7224278792263467803""","=""7223082042446791429""","=""6873108952471077890""","tehbotoolsosro","P🅰️KYUU","bagi bang please","21/4/2023, 06.31.50","3","No","","","https://www.tiktok.com/@tehbotoolsosro"
"=""7224285029806555930""","=""7223082042446791429""","=""6958679219585532934""","lixxzlow","Falixxz","mana jn lari","21/4/2023, 06.56.26","1","No","","","https://www.tiktok.com/@lixxzlow"
"=""7226210722543862554""","=""7223082042446791429""","=""6851451391464424450""","m_raffi03","Black","macakk😂","26/4/2023, 11.28.57","1","No","","","https://www.tiktok.com/@m_raffi03"
"=""7223201159396852507""","=""7223082042446791429""","=""7160190558408344577""","muhammad_hafiz28","OPERATOR RUNGKAD","aku ada 11 video 😫🗿","18/4/2023, 08.50.09","18","No","","","https://www.tiktok.com/@muhammad_hafiz28"
"=""7226670442148610843""","=""7223082042446791429""","=""7010574827341939713""","salwasilviautami","wong sepele is back","bang bagi bang","27/4/2023, 17.12.44","1","No","","","https://www.tiktok.com/@salwasilviautami"
"=""7223393484400182042""","=""7223082042446791429""","=""7164641221704205314""","xxsadboys_","Ruang hampa  🩶","bagi broo","18/4/2023, 21.16.17","1","No","","","https://www.tiktok.com/@xxsadboys_"
"=""7223391392139313947""","=""7223082042446791429""","=""6879308335980577797""","urfgik1","agiii?","bgi tu","18/4/2023, 21.08.19","1","No","","","https://www.tiktok.com/@urfgik1"
"=""7223683167252661018""","=""7223082042446791429""","=""7179143013545329665""","ultramen_ziro","ultramen1","gw mnta dong","19/4/2023, 16.00.35","1","No","","","https://www.tiktok.com/@ultramen_ziro"
"=""7223919716259529498""","=""7223082042446791429""","=""6992635628661031963""","sam41076","dinas kesehatan","bgi bg","20/4/2023, 07.19.07","1","No","","","https://www.tiktok.com/@sam41076"
"=""7223680042945528603""","=""7223082042446791429""","=""7125306212447224834""","anggaaa_021","ANGGA_021","bagi🥺","19/4/2023, 15.48.35","1","No","","","https://www.tiktok.com/@anggaaa_021"
"=""7223283168551748379""","=""7223082042446791429""","=""6985745692661154842""","secc_laii","secc_láii","bgiii coyyy","18/4/2023, 14.08.37","2","No","","","https://www.tiktok.com/@secc_laii"
"=""7225644683526046491""","=""7223082042446791429""","=""7193953160841692161""","rdtario","anak e pak RT","bagi bagi","24/4/2023, 22.51.59","1","No","","","https://www.tiktok.com/@rdtario"
"=""7226324584790180634""","=""7223082042446791429""","=""7010362466882356225""","abu_nadhif06","abihadi06","bagi bg😁","27/4/2023, 08.27.30","1","No","","","https://www.tiktok.com/@abu_nadhif06"
"=""7225038967761109787""","=""7223082042446791429""","=""6814021706685334529""","aldiiii_09","Aldi","bukti?","23/4/2023, 07.41.47","1","No","","","https://www.tiktok.com/@aldiiii_09"
"=""7223561392321708805""","=""7223082042446791429""","=""7137878977826522139""","mohsukatobrut","muhajaaa","bagiii bang","19/4/2023, 14.18.49","0","No","","","https://www.tiktok.com/@mohsukatobrut"
"=""7224777260436013829""","=""7223082042446791429""","=""6917623303561593858""","langit.421","langit dan awan","bagi","22/4/2023, 14.45.57","1","No","","","https://www.tiktok.com/@langit.421"
"=""7224520742628983579""","=""7223082042446791429""","=""6967172821193720833""","wazzzzzie_","akmal kulkas 8 pintu","bagi bang😩","21/4/2023, 22.10.43","1","No","","","https://www.tiktok.com/@wazzzzzie_"
"=""7224523299002614554""","=""7223082042446791429""","=""6992736872948024347""","reygtggs","reyhan aureliano","bagi bg","21/4/2023, 22.20.34","0","No","","","https://www.tiktok.com/@reygtggs"
